1,98,19,pitch.jpg,2048,1233
2,380,19,pitch.jpg,2048,1233
3,861,19,pitch.jpg,2048,1233
4,1017,19,pitch.jpg,2048,1233
5,1174,19,pitch.jpg,2048,1233
6,1641,19,pitch.jpg,2048,1233
7,1923,18,pitch.jpg,2048,1233
8,98,268,pitch.jpg,2048,1233
9,380,269,pitch.jpg,2048,1233
10,1641,268,pitch.jpg,2048,1233
11,1922,268,pitch.jpg,2048,1233
12,98,459,pitch.jpg,2048,1233
13,189,460,pitch.jpg,2048,1233
14,381,480,pitch.jpg,2048,1233
15,1017,460,pitch.jpg,2048,1233
16,1641,483,pitch.jpg,2048,1233
17,1833,454,pitch.jpg,2048,1233
18,1922,454,pitch.jpg,2048,1233
19,293,617,pitch.jpg,2048,1233
20,861,616,pitch.jpg,2048,1233
21,1017,617,pitch.jpg,2048,1233
22,1174,616,pitch.jpg,2048,1233
23,1734,617,pitch.jpg,2048,1233
24,98,772,pitch.jpg,2048,1233
25,188,772,pitch.jpg,2048,1233
26,381,752,pitch.jpg,2048,1233
27,1017,773,pitch.jpg,2048,1233
28,1641,749,pitch.jpg,2048,1233
29,1834,767,pitch.jpg,2048,1233
30,1923,767,pitch.jpg,2048,1233
31,98,963,pitch.jpg,2048,1233
32,381,963,pitch.jpg,2048,1233
33,1641,963,pitch.jpg,2048,1233
34,1923,964,pitch.jpg,2048,1233
35,98,1199,pitch.jpg,2048,1233
36,380,1200,pitch.jpg,2048,1233
37,862,1199,pitch.jpg,2048,1233
38,1017,1199,pitch.jpg,2048,1233
39,1174,1199,pitch.jpg,2048,1233
40,1641,1199,pitch.jpg,2048,1233
41,1924,1199,pitch.jpg,2048,1233
